Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Import_File.ran,Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,participant,session,date,expName,psychopyVersion,OS,frameRate,Instr_RT_Old_Press.keys,Instr_RT_Old_Press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,RT_Press.keys,RT_Press.corr,RT_Press.rt,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,True_Key,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Ctx_Prep_Time,Actual_Press,RT,Correct,Session,RT_Old_Iter.thisRepN,RT_Old_Iter.thisTrialN,RT_Old_Iter.thisN,RT_Old_Iter.thisIndex,RT_Old_Iter.ran,RT_Old_Block.thisRepN,RT_Old_Block.thisTrialN,RT_Old_Block.thisN,RT_Old_Block.thisIndex,RT_Old_Block.ran
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.93621,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,13,1,1,99,99,h,0.93621,1,2,13,0,13,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.883365,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,14,1,1,99,99,u,0.883365,1,2,14,0,14,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.45812,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,15,1,1,99,99,u,0.45812,1,2,15,0,15,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,1.07024,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,16,1,1,99,99,i,1.07024,1,2,16,0,16,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.496535,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,17,1,1,99,99,i,0.496535,1,2,17,0,17,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.51585,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,18,1,1,99,99,h,0.51585,1,2,18,0,18,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,1.003305,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,19,1,1,99,99,i,1.003305,1,2,19,0,19,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.704915,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,20,1,1,99,99,i,0.704915,1,2,20,0,20,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.93687,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,21,1,1,99,99,u,0.93687,1,2,21,0,21,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.643325,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,22,1,1,99,99,h,0.643325,1,2,22,0,22,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.503225,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,23,1,1,99,99,u,0.503225,1,2,23,0,23,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.45542,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,24,1,1,99,99,u,0.45542,1,2,24,0,24,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.814285,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,25,1,1,99,99,u,0.814285,1,2,25,0,25,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.941475,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,26,1,1,99,99,i,0.941475,1,2,26,0,26,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.338915,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,27,1,1,99,99,i,0.338915,1,2,27,0,27,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.75683,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,28,1,1,99,99,h,0.75683,1,2,28,0,28,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.33295,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,29,1,1,99,99,h,0.33295,1,2,29,0,29,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,0,1.061625,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,30,1,1,99,99,u,1.061625,0,2,30,0,30,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.56609,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,31,1,1,99,99,u,0.56609,1,2,31,0,31,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.383055,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,32,1,1,99,99,u,0.383055,1,2,32,0,32,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,1.09886,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,33,1,1,99,99,i,1.09886,1,2,33,0,33,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,1.165685,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,34,1,1,99,99,h,1.165685,1,2,34,0,34,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.73484,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,35,1,1,99,99,h,0.73484,1,2,35,0,35,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,0,0.56573,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,36,1,1,99,99,u,0.56573,0,2,36,0,36,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,0,0.356335,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,37,1,1,99,99,i,0.356335,0,2,37,0,37,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.847105,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,i,RT,0,0,38,1,1,99,99,i,0.847105,1,2,38,0,38,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.55803,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,39,1,1,99,99,h,0.55803,1,2,39,0,39,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,2.41646,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,40,1,1,99,99,i,2.41646,1,2,40,0,40,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,2.44641,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,41,1,1,99,99,u,2.44641,1,2,41,0,41,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,1.108315,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,h,RT,0,0,42,1,1,99,99,h,1.108315,1,2,42,0,42,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,3.40611,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,43,1,1,99,99,h,3.40611,1,2,43,0,43,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.738805,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,44,1,1,99,99,u,0.738805,1,2,44,0,44,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.581855,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,i,RT,0,0,45,1,1,99,99,i,0.581855,1,2,45,0,45,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.73217,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,u,RT,0,0,46,1,1,99,99,u,0.73217,1,2,46,0,46,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,3.662305,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,47,1,1,99,99,u,3.662305,1,2,47,0,47,0,1,,,,,
,,,,,,,,,,,,,,,,,,,,1,2,2021-01-05_15h18.54.464,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.46014,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,u,RT,0,0,48,1,1,99,99,u,0.46014,1,2,48,0,48,0,1,,,,,
