Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Import_File.ran,Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,participant,session,date,expName,psychopyVersion,OS,frameRate,Instr_RT_Old_Press.keys,Instr_RT_Old_Press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,RT_Press.keys,RT_Press.corr,RT_Press.rt,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,True_Key,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Ctx_Prep_Time,Actual_Press,RT,Correct,Session,RT_Old_Iter.thisRepN,RT_Old_Iter.thisTrialN,RT_Old_Iter.thisN,RT_Old_Iter.thisIndex,RT_Old_Iter.ran,RT_Old_Block.thisRepN,RT_Old_Block.thisTrialN,RT_Old_Block.thisN,RT_Old_Block.thisIndex,RT_Old_Block.ran,Instr_TR_Old_Press.keys,Instr_TR_Old_Press.rt,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Feedback_Old_Bool.thisRepN,TR_Feedback_Old_Bool.thisTrialN,TR_Feedback_Old_Bool.thisN,TR_Feedback_Old_Bool.thisIndex,TR_Feedback_Old_Bool.ran,TR_Old_Iter.thisRepN,TR_Old_Iter.thisTrialN,TR_Old_Iter.thisN,TR_Old_Iter.thisIndex,TR_Old_Iter.ran,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Old_Block.ran,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Old_Bool.thisRepN,TR_Penalty_Old_Bool.thisTrialN,TR_Penalty_Old_Bool.thisN,TR_Penalty_Old_Bool.thisIndex,TR_Penalty_Old_Bool.ran,Instr_End_Exp_Key.keys,Instr_End_Exp_Key.rt
"[[1,-1,-1],[-1,1,-1]]","[0,2,1]","[0,1,2]","[0,1,2]","[0,2,1]",0,0,0,0,1,0,"[1, -1, -1]",h,0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[0,2,1]","[0,1,2]","[0,1,2]","[0,2,1]",0,1,1,1,1,1,"[-1, 1, -1]",u,1,media/dfnb.png,0.014,0.1,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[0,2,1]","[0,1,2]","[0,1,2]","[0,2,1]",0,2,2,2,1,2,,i,0,media/dknb.png,0.057,0.08,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,h,17.56996,h,1.08643,i,1,0.666115,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,i,RT,0,0,0,2,1,99,99,i,0.666115,1,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.55102,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,u,RT,0,0,1,2,1,99,99,u,0.55102,1,3,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.611605,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,i,RT,0,0,2,2,1,99,99,i,0.611605,1,3,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.651825,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,u,RT,0,0,3,2,1,99,99,u,0.651825,1,3,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.517825,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,i,RT,0,0,4,2,1,99,99,i,0.517825,1,3,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.785145,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,u,RT,0,0,5,2,1,99,99,u,0.785145,1,3,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.601345,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,6,2,1,99,99,h,0.601345,1,3,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.390215,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,h,RT,0,0,7,2,1,99,99,h,0.390215,1,3,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.491845,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,8,2,1,99,99,h,0.491845,1,3,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.401595,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,h,RT,0,0,9,2,1,99,99,h,0.401595,1,3,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,3,2021-01-10_12h24.04.851,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.546785,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,u,RT,0,0,10,2,1,99,99,u,0.546785,1,3,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
