Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Import_File.ran,Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,participant,session,date,expName,psychopyVersion,OS,frameRate,Instr_RT_Old_Press.keys,Instr_RT_Old_Press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,RT_Press.keys,RT_Press.corr,RT_Press.rt,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,True_Key,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Ctx_Prep_Time,Actual_Press,RT,Correct,Session,RT_Old_Iter.thisRepN,RT_Old_Iter.thisTrialN,RT_Old_Iter.thisN,RT_Old_Iter.thisIndex,RT_Old_Iter.ran,RT_Old_Block.thisRepN,RT_Old_Block.thisTrialN,RT_Old_Block.thisN,RT_Old_Block.thisIndex,RT_Old_Block.ran,Instr_End_Exp_Key.keys,Instr_End_Exp_Key.rt
"[[1,-1,-1],[-1,1,-1]]","[0,2,1]","[0,1,2]","[0,1,2]","[0,2,1]",0,0,0,0,1,0,"[1, -1, -1]",h,0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[0,2,1]","[0,1,2]","[0,1,2]","[0,2,1]",0,1,1,1,1,1,"[-1, 1, -1]",u,1,media/dfnb.png,0.014,0.1,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1],[1,-1,-1],[-1,1,-1]]","[0,2,1]","[0,1,2]","[0,1,2]","[0,2,1]",0,2,2,2,1,2,,i,0,media/dknb.png,0.057,0.08,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,h,9.897925,h,0.05201,i,1,0.85463,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,i,RT,0,0,0,2,1,99,99,i,0.85463,1,4,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.501305,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,u,RT,0,0,1,2,1,99,99,u,0.501305,1,4,1,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.567355,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,u,RT,0,0,2,2,1,99,99,u,0.567355,1,4,2,0,2,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.61875,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,i,RT,0,0,3,2,1,99,99,i,0.61875,1,4,3,0,3,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.484845,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,i,RT,0,0,4,2,1,99,99,i,0.484845,1,4,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.51591,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,5,2,1,99,99,h,0.51591,1,4,5,0,5,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.38438,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,h,RT,0,0,6,2,1,99,99,h,0.38438,1,4,6,0,6,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,0,0.71943,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,u,RT,0,0,7,2,1,99,99,i,0.71943,0,4,7,0,7,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.51783,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,8,2,1,99,99,h,0.51783,1,4,8,0,8,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.6512,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,i,RT,0,0,9,2,1,99,99,i,0.6512,1,4,9,0,9,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.61756,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,h,RT,0,0,10,2,1,99,99,h,0.61756,1,4,10,0,10,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.784265,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,u,RT,0,0,11,2,1,99,99,u,0.784265,1,4,11,0,11,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,1.167665,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,i,RT,0,0,12,2,1,99,99,i,1.167665,1,4,12,0,12,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.467565,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,h,RT,0,0,13,2,1,99,99,h,0.467565,1,4,13,0,13,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.65106,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,i,RT,0,0,14,2,1,99,99,i,0.65106,1,4,14,0,14,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.48713,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,u,RT,0,0,15,2,1,99,99,u,0.48713,1,4,15,0,15,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.484365,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,16,2,1,99,99,h,0.484365,1,4,16,0,16,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.602095,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,u,RT,0,0,17,2,1,99,99,u,0.602095,1,4,17,0,17,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.51598,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,18,2,1,99,99,h,0.51598,1,4,18,0,18,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.551175,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,i,RT,0,0,19,2,1,99,99,i,0.551175,1,4,19,0,19,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.50102,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,u,RT,0,0,20,2,1,99,99,u,0.50102,1,4,20,0,20,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.41545,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,h,RT,0,0,21,2,1,99,99,h,0.41545,1,4,21,0,21,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.58439,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,i,RT,0,0,22,2,1,99,99,i,0.58439,1,4,22,0,22,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.451105,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,u,RT,0,0,23,2,1,99,99,u,0.451105,1,4,23,0,23,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.5345,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,u,RT,0,0,24,2,1,99,99,u,0.5345,1,4,24,0,24,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.48435,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,h,RT,0,0,25,2,1,99,99,h,0.48435,1,4,25,0,25,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.600975,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,i,RT,0,0,26,2,1,99,99,i,0.600975,1,4,26,0,26,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,0,0.48447,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,i,RT,0,0,27,2,1,99,99,u,0.48447,0,4,27,0,27,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.50094,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,28,2,1,99,99,h,0.50094,1,4,28,0,28,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.60096,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,u,RT,0,0,29,2,1,99,99,u,0.60096,1,4,29,0,29,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.534565,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,30,2,1,99,99,h,0.534565,1,4,30,0,30,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.367855,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,h,RT,0,0,31,2,1,99,99,h,0.367855,1,4,31,0,31,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.55121,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,i,RT,0,0,32,2,1,99,99,i,0.55121,1,4,32,0,32,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.50148,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,u,RT,0,0,33,2,1,99,99,u,0.50148,1,4,33,0,33,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.436835,1,media/dfnb.png,1,"[1,-1,-1]",1,1,Symb,i,RT,0,0,34,2,1,99,99,i,0.436835,1,4,34,0,34,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.55108,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,i,RT,0,0,35,2,1,99,99,i,0.55108,1,4,35,0,35,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,0,0.618345,1,media/dfnb.png,2,"[-1,1,-1]",4,1,Symb,u,RT,0,0,36,2,1,99,99,i,0.618345,0,4,36,0,36,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.66771,0,media/dcnb.png,2,"[-1,1,-1]",3,0,Symb,h,RT,0,0,37,2,1,99,99,h,0.66771,1,4,37,0,37,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,i,1,0.667775,2,media/dknb.png,2,"[-1,1,-1]",5,0,Symb,i,RT,0,0,38,2,1,99,99,i,0.667775,1,4,38,0,38,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.500945,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,u,RT,0,0,39,2,1,99,99,u,0.500945,1,4,39,0,39,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,h,1,0.501025,0,media/dcnb.png,1,"[1,-1,-1]",0,0,Symb,h,RT,0,0,40,2,1,99,99,h,0.501025,1,4,40,0,40,0,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,3,4,2021-01-11_12h39.10.663,CL_C2S3,2020.1.3,Win32,60,,,,,u,1,0.667795,2,media/dknb.png,1,"[1,-1,-1]",2,0,Symb,u,RT,0,0,41,2,1,99,99,u,0.667795,1,4,41,0,41,0,1,,,,,,,
